logFC,logCPM,LR,PValue
ENSG00000147202,-0.291346086807391,3.36593753099188,2.82056887152065,0.0930634150289063
ENSG00000238116,-1.02145264609557,1.85388836657696,36.1125111523096,1.86247226634838e-09
ENSG00000101811,-1.148859296108,4.71859833763443,67.2707354008809,2.36668491858883e-16
ENSG00000179031,-0.316718652610115,1.96364181383316,3.01397914009697,0.0825494165632606
ENSG00000182574,0.412652729004389,-0.51319799887792,1.84718004159493,0.174111728732136
ENSG00000102384,-2.15104550871118,3.79704924185646,18.4551038691587,1.73954322840463e-05
ENSG00000102385,-1.42497540795496,0.534683243296204,11.3610110935443,0.000750019831289788
ENSG00000241343,-0.636279296964578,4.5902191323727,25.4771275565893,4.47658631236418e-07
ENSG00000257529,-0.103354665322606,5.28382469670318,0.799175320944654,0.371340049420475
ENSG00000126945,0.644057520020482,6.07222506036637,38.5570087130328,5.31774629503374e-10
ENSG00000196440,-0.0787973926296978,1.0589755151306,0.0488578613881643,0.825062732316778
ENSG00000204072,0.0265199588782676,-0.331564544572191,0.0139119155000857,0.906108239445026
ENSG00000102401,0.181118433813562,5.21156991930248,2.85327107973988,0.0911882292130915
ENSG00000261101,1.00012417076756,-1.07588168733457,9.4165387637485,0.00215037034096992
ENSG00000286000,0.152816065578139,-2.17597093097684,0.0916334537779235,0.762110738176722
ENSG00000125962,0.190005572335727,2.11058973860225,1.23162839415854,0.267090587778715
ENSG00000271147,0.60245717902311,1.0799939808429,7.80524536701901,0.00520947918837502
ENSG00000198932,0.16019925665765,0.581498728258907,0.159290387243212,0.689810681835882
ENSG00000158301,1.79675015188318,-1.30886836702771,16.8652605574958,4.01293666091005e-05
ENSG00000286237,0.858814938442421,-0.305713937143184,7.36067956629369,0.00666655908155581
ENSG00000198908,0.746656476787214,-0.368958832164515,5.77904585411801,0.0162183432072573
ENSG00000223546,0.120648961665724,1.45969124540483,0.553266304159421,0.456986146850654
ENSG00000239407,0.0422155432962109,0.676186406464877,0.038550806705806,0.844341242696867
ENSG00000102409,1.27421689695032,3.18332683829022,39.2726470965623,3.68568511452257e-10
ENSG00000166681,0.605455633018505,-0.391252340577228,3.81176427528303,0.0508938163802691
ENSG00000133142,1.0166502629055,1.38279253987166,9.94108317798447,0.00161630412761906
ENSG00000196507,0.360203480320384,-0.343814381437013,1.56339919914867,0.211168205436401
ENSG00000172465,0.719871131753798,1.14518212801622,8.44053646865171,0.00366947981718316
ENSG00000231154,-0.140947994721993,0.0530863786763022,0.24920414929072,0.617636018653017
ENSG00000158427,-0.0653597525500022,0.48893887705371,0.0639805602130714,0.800311650999199
ENSG00000230312,0.848412442552126,-1.47711148311154,4.37905561600551,0.0363831505662715
ENSG00000166707,1.07593357157467,2.84327656355885,49.9412116626325,1.58422049730974e-12
ENSG00000123575,0.39973580337974,4.78726856225103,6.37470624350753,0.0115758201477663
ENSG00000181819,-0.351820563981509,2.05916934431741,4.27216750927407,0.0387414825726591
ENSG00000256709,0.519996088079202,-2.32258879204927,1.3252330663437,0.249655033997851
ENSG00000147231,-0.653511578138163,2.60294358148008,12.1355322062847,0.00049470148838472
ENSG00000213569,-0.478166090796825,2.7635345332879,10.4125242549568,0.00125163539835781
LRG_264,-1.07963829349082,5.7719184557763,96.0467021829935,1.12205155391782e-22
ENSG00000147224,-1.07225484447164,5.78090749444422,95.0504967075634,1.85590195589029e-22
ENSG00000080561,-0.247876500280752,0.679268054033358,1.38655001344295,0.238988584827664
ENSG00000101842,8.28076819709401,2.08999851368171,255.428524460954,1.70224507884402e-57
ENSG00000101844,0.19344274630242,4.24772320911453,2.42049660765694,0.119756960191702
ENSG00000275110,1.05878353078134,-1.69434561767564,4.66225684514335,0.0308326392174875
ENSG00000101888,-0.31503968009859,3.19814136241993,3.4580774149818,0.0629434620538481
ENSG00000233874,-0.188779471645118,-0.39071670228955,0.334442356768571,0.563054902169553
ENSG00000289365,0.686487042752532,-0.349415678300552,4.16461716830247,0.0412767400604752
ENSG00000157600,0.613125417678955,5.09649525616607,31.7572928063083,1.74692071909045e-08
ENSG00000077264,-0.736133759705009,-2.17741542962851,2.04061961161313,0.153147253499995
ENSG00000101901,0.204640144384384,5.28049305054199,3.05625956713706,0.080426613038229
ENSG00000220541,-0.634162322755464,-2.1650058286112,2.4873458387233,0.114765119502887
ENSG00000102024,1.72344207988173,1.82949840025364,33.8795423995869,5.86319846536788e-09
ENSG00000234785,-0.826717592330097,-0.905189509524298,4.73713529041258,0.0295181846890863
ENSG00000213526,-0.635548315706156,1.02255574340177,9.30852530619753,0.00228089997948711
ENSG00000131725,0.0499810634450617,5.18312593878618,0.246335074290114,0.61966756912761
ENSG00000147251,0.364376035898637,7.14953896480895,9.1103870530429,0.00254162087434818
ENSG00000174460,-0.509412211540946,-1.30604608068694,0.446993576150254,0.503766125593531
ENSG00000175556,0.322695846346193,-2.07517311033821,0.29209805874852,0.58887917135554
ENSG00000230170,-1.82806616297622,-1.11601195539796,33.0704039583251,8.88813958751403e-09
ENSG00000101856,-0.948073613727317,4.16822867887736,53.3527154110392,2.78725685855895e-13
ENSG00000077713,-0.106731395589403,3.40368920416015,0.483747917303542,0.486729550788551
ENSG00000005022,-1.47689618400535,7.82408782493176,75.1427567502319,4.37880230081434e-18
ENSG00000077721,-0.414804694573343,5.81583824167338,13.4444691043707,0.000245729549922925
