,BSSE_QGF_204446,BSSE_QGF_204447,BSSE_QGF_204448,BSSE_QGF_204449,BSSE_QGF_204450,BSSE_QGF_204451,BSSE_QGF_204452,BSSE_QGF_204453,BSSE_QGF_204458,BSSE_QGF_204459,BSSE_QGF_204460,BSSE_QGF_204461,BSSE_QGF_204462,BSSE_QGF_204463,BSSE_QGF_204464,BSSE_QGF_204465
ENSG00000231345,1,1,1,5,3,0,0,0,2,2,1,5,1,1,1,2
ENSG00000232706,16,19,2,33,23,31,12,34,16,32,8,17,10,28,9,26
ENSG00000226168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204147,193,86,235,176,221,180,278,148,213,159,227,135,209,119,250,136
ENSG00000261368,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000185532,1,0,0,2,2,0,0,0,0,6,1,0,0,0,0,1
LRG_1135,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1
ENSG00000207813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235279,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ENSG00000213659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289270,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
ENSG00000107984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227972,4,9,12,2,9,5,4,10,8,4,3,11,18,7,8,8
ENSG00000201196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233805,2,2,0,1,0,1,1,5,0,1,2,0,0,1,1,2
ENSG00000234173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000249860,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
ENSG00000270541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287016,3,11,16,4,17,8,38,5,8,5,19,6,10,10,41,15
ENSG00000235810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
